Country,Alfred García,Oques Grasses,Figa Flawas,Lal'Ba,Els Amics De Les Arts,JULS,Miki Núñez,Sexenni,Buhos,Ginestà,Suu,Will.X.O,Adrien Broadway,La Fúmiga,Joan Dausà,Gigi Ros,Mushkaa,Flashy Ice Cream,Sopa De Cabra,Mama Dousha,dani6ix,CLASSE B,Laura Gibert,The Tyets,Ven'nus,Galgo Lento,Scorpio,Julieta,xicu,Bali 13,Júlia Blum,Miquel Abras,Sara Roy,Itaca Band,Iglú,Yung Rajola,Uri Santafé,Al·lèrgiques al pol·len,Beatneeks,Lluís Sánchez,BALMA,Siderland,La Tour De Carol,Blaumut,Alleh,Quevedo,Danny Ocean,Myke Towers,Cano,Clarent,KAROL G,Yan Block,Beéle,Blessd,Moncho Chavea,Bizarrap,JC Reyes,Rels B,Omar Courtz,Rauw Alejandro,Los Sufridos,Rvfv,ROSÉ,Bad Bunny,Beny Jr,Lady Gaga,Feid,ROA,Lola Indigo,Kapo,FloyyMenor,La La Love You,Gonzy,Amaia,Morad,Dani Fernández,DELLAFUENTE,Duki,Sebastian Yatra,Dei V,Cyril Kamer,Gracie Abrams,Shakira,La T y La M,Gordo,Jombriel,Tiago PZK,Renzo ED,Big One,Los Ángeles Azules,Luck Ra,Salastkbron,Valentino Merlo,Emilia,Pinky SD,Q' Lokura,Emanero,TINI,ECKO,King Savagge,Yami Safdie,Hernan y La Champion's Liga,Paulo Londra,No Te Va Gustar,Nicki Nicole,Standly,DJ Tao,Babasonicos,Lucky Brown,Oruam,Nilo,Henry Freitas,Brenno & Matheus,Eric Land,MC Tuto,Grupo Menos É Mais,Nuzio Medeiros,Léo Foguete,J. Eskine,NATTAN,Clayton & Romário,Jorge & Mateus,MC LUUKY,Hugo & Guilherme,Henrique & Juliano,Guilherme & Benuto,DJ TOPO,Mc Negão Original,Murilo Huff,Maiara & Maraisa,MC Marks,MC Cebezinho,Luan Santana,Gusttavo Lima,Luan Pereira,Ferrugem,Israel & Rodolffo,DJ Douglinhas,Felipe Araújo,Wesley Safadão,Bruno & Denner,Thiago Carvalho,Supernova Ent,Kaique e Felipe,Grelo,Matheus & Kauan,PEDRO SAMPAIO,Boladin 211,MC GP,MC Kevinho,Marracash,Simba La Rue,Artie 5ive,Pinguini Tattici Nucleari,Olly,Cesare Cremonini,Alfa,Baby Gang,Papa V,Geolier,ANNA,Achille Lauro,Ghali,Sal Da Vinci,Lazza,Tony Effe,Lele Blade,Damiano David,CoCo,RRARI DAL TACCO,Kid Yugi,Astro,Ornella Vanoni,Capo Plaza,Ultimo,Billie Eilish,JVLI,Gazo,GIMS,Damso,SDM,Joé Dwèt Filé,Bouss,Dr. Yaro,Arcane,Theodora,Jul,Guy2Bezbar,SANTA,Werenoi,Favé,Ninho,Sevdaliza,Teddy Swims,Lola Young,Linh,AMK,La Mano 1.9,Helena,Tiakola,Kavinsky,Booba,Denden,Soolking,Macklemore,Alex Warren,David Guetta,Benson Boone,Sabrina Carpenter,VEN1,Jaden Bojsen,Kendrick Lamar,"Tyler, The Creator",Morgan Wallen,Gigi Perez,The Weeknd,Chappell Roan,Jimin,SZA,Post Malone,Lil Baby,Shaboozey,Don Toliver,The Marías,GloRilla,The Neighbourhood,Noah Kahan,Doechii,Tommy Richman,Hozier,Neton Vega,Imogen Heap,Sam Barber,Zach Bryan,W Sound,Maisak,Heredero,Nanpa Básico,Kris R.,Ryan Castro,Maluma,ONIKX,Reykon,Andy Rivera,Grupo Niche,Oscar Maydon,J Balvin,Boza,Dalmata,BTS,Frankie Ruiz,Kenny Die,Myles Smith,The Killers,Coldplay,Chrystal,Dream Supplier,BL3SS,Cynthia Erivo,Sonny Fodera,Tyla,Fleetwood Mac,Naughty Boy,The Police,Dasha,PAWSA,Kings of Leon,DJ Lalo,Plan B,Yailin la Mas Viral,Sossa,Leo Dan,Lalo Rodriguez,Rvssian,Adolescent's Orquesta,Grupo Frontera,Tito Double P,Gabito Ballesteros,Peso Pluma,Fuerza Regida,Jorsshh,Chino Pacas,Natanael Cano,Junior H,Clave Especial,Carin Leon,Luis R Conriquez,Victor Mendivil,Julión Álvarez y su Norteño Banda,Victor Valverde,LEGADO 7,Cris Mj,Martinwhite,Jere Klein,Grupo Zúmbale Primo,Bayron Fire,Fran C,Santaferia,Ovy On The Drums,Jairo Vera,Gino Mella,SpuTniK Project,Liaze,ANNA ASTI,Jakone,Irina Dubtsova,wagna,MACAN,Konfuz,Geegun,Big Baby Tape,Bearwolf,Gio Pika,BLIZKEY,BEARWOLF,Poshlaya Molly,Татьяна Куртукова,Aarne,Xolidayboy,Женя Трофимов,Navai,6YNTHMANE,Wallem,Leonid Agutin,Misha Xramovi,Xcho,Irina Kairatovna,KARAT,UNIK,VEIGEL,Криминальный бит,Merab Amzoevi,Вектор А,Bittuev,WhyBaby?,A.V.G,Mult96,TIGO,Costa Lacoste,Lusia Chebotina,ebert,Linkin Park,Nina Chuba,Sosa La M,Jazeek,LACAZETTE,Bonez MC,SAMIRA,Loredana,AYLIVA,Shirin David,Berq,Artemas,FOURTY,HUGEL,Dimitri Vegas & Like Mike,cassö,Journey,Bobby Vandamme,Natasha Bedingfield,CYRIL,Mark Ambor,Aymen,Pashanim,Souly,Udo Lindenberg,Plutonio,Mizzy Miles,Dillaz,Slow J,Calema,Bluay,Mc Livinho,Adam Port,Richie Campbell,Matuê,Jung Kook,V,Jin,aespa,G-DRAGON,DAY6,BABYMONSTER,BIGBANG,ILLIT,NewJeans,fromis_9,Lim Young Woong,KISS OF LIFE,HAON,WOODZ,Axel Rulay,Rawayana,ElGrandeToto,La Fouine,Figoshin,Lazaro,Pause,Tawsen,Draganov,Najm,Delarue,Duke,Bilel Tacchini,KALIL,Bo9al,SKY,Ali S,Stormy,Douaa Lahyaoui,Niro,Snor,LFERDA,Mons,Nouamane Belaiachi,L'morphine,Lbenj,Theo Rose,Dani Mocanu,Tzanca Uraganu,Iuly Neamtu,Babasha,Sami G,AlbertNbn,Gya,NOUA UNSPE,Denis Ramniceanu,candyboii,IDK,Mgk666,Raihold,RAVA,Bogdan DLP,YNY Sebi,Alex Botea,Oscar,Costel Biju,Jador,Bolaget,Humlan Djojj,Babblarna,Gaboro,Molly Sandén,Yasin,Soppgirobygget,Y4ska,Avicii,ADAAM,Asme,Miriam Bryant,Purple Disco Machine,Miss Li,Sarettii,Lord Huron,Hooja,Anurag Saikia,Anuv Jain,Jasleen Royal,Sachet-Parampara,Faheem Abdullah,Karan Aujla,Yo Yo Honey Singh,Ram Sampath,Sachin-Jigar,Aditya Rikhari,Arijit Singh,Dhanda Nyoliwala,Pritam,Vishal Mishra,Shilpa Rao,Vishal-Shekhar,Diljit Dosanjh,Juss,yung kai,Mohammad Faiz,Amitabh Bhattacharya,Sachet Tandon,AUR,Khushi TDT,Hariharan,Atif Aslam,Mitraz,LA NUEVA ESCUELA,El Reja,Engel Montaz,Flamen Beretta,La Deskarga,Bauti Mascia,Max Carra,Mrs. GREEN APPLE,Da-iCE,Vaundy,Creepy Nuts,Omoinotake,tuki.,Kocchi no Kento,AKASAKI,back number,King Gnu,Kenshi Yonezu,CUTIE STREET,Number_i,Fujii Kaze,ヨルシカ,MISAMO,OFFICIAL HIGE DANDISM,YOASOBI,Yuuri,Fontaines D.C.,Pitbull,Lil Naay,Keyviem,Shadow Blow,El Blachy,Xavi The Destroyer,Braulio Fogon,Amenazzy,Jezzy,NTG,La Perversa,Aventura,Sin Nombre,Romeo Santos,Dionela,Maki,Arthur Nery,Up Dharma Down,Cup of Joe,PARTYNEXTDOOR,NOBITA,Hale,Robledo Timido,Adie,Over October,The Script,HELLMERRY,Bruno Mars,ALLMO$T,Daniel Caesar,Ariana Grande,Orange & Lemons,TJ Monterde,Calein,gins&melodies,December Avenue,Arctic Monkeys,Flow G,Hev Abi,Andmesh,For Revenge,.Feast,The Lantis,Ernie Zakri,Rio Clappy,Bernadya,Lyodra,Last Child,Anggi Marito,Juicy Luicy,Dudy Oris,Rony Parulian,Hindia,Adrian Khalif,Vierra,Nadin Amizah,Feby Putri,Mahalini,Nyoman Paul,Virgoun,Hal,Batas Senja,Tulus,Nidji,Suara Kayu,Yovie & Nuno,Nadhif Basalamah,Meiska,NDX A.K.A.,Raim Laode,Betrand Putra Onsu,Tiara Andini,RIAN,Djo,Chase Atlantic,La Única Tropical,Pascal,Trueno,Milo j,Vance Joy,Luke Combs,Taylor Swift,Royel Otis,The Kid LAROI,The Goo Goo Dolls
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,63.0,,,18.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,373.0,48.0,155.0,74.0,42.0,40.0,72.0,94.0,54.0,28.0,23.0,12.0,18.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,47.0,35.0,,,46.0,,25.0,83.0,,,,,18.0,84.0,,,38.0,3.0,,40.0,36.0,,,23.0,88.0,,,,,,,,,,,,21.0,,,,43.0,,,8.0,,,,,,,,,,85.0,,,,,,,,,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,33.0,50.0,30.0,24.0,31.0,19.0,17.0,13.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,49.0,48.0,82.0,46.0,85.0,151.0,43.0,42.0,74.0,38.0,37.0,36.0,34.0,33.0,32.0,40.0,30.0,29.0,28.0,27.0,34.0,23.0,22.0,20.0,19.0,18.0,17.0,16.0,13.0,12.0,11.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,48.0,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,15.0,,,,,,,,,40.0,40.0,,,,,,,,,,,,,9.0,23.0,,,,,,39.0,41.0,2.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,4.0,,,25.0,,,,,34.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,46.0,44.0,75.0,77.0,38.0,37.0,36.0,35.0,33.0,31.0,30.0,29.0,28.0,27.0,24.0,21.0,20.0,17.0,13.0,12.0,11.0,8.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,44.0,,,47.0,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,48.0,,,,107.0,,,34.0,43.0,,,,40.0,,,,59.0,3.0,,,32.0,10.0,,,,,,,,,,,41.0,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,29.0,33.0,,,,,,,,,,,,,17.0,22.0,,,6.0,,,38.0,23.0,7.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,162.0,30.0,28.0,27.0,26.0,25.0,18.0,11.0,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,47.0,72.0,72.0,94.0,50.0,23.0,19.0,30.0,18.0,10.0,27.0,6.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.0,,63.0,42.0,,31.0,66.0,27.0,99.0,44.0,,,,,54.0,91.0,,,23.0,92.0,,21.0,46.0,33.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,2.0,16.0,,17.0,,,,,,,,,7.0,26.0,,36.0,,,,,,,,,,,,,,,,,,,4.0,42.0,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,22.0,,,,,,,,,,,,,48.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,33.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,440.0,46.0,64.0,43.0,76.0,40.0,39.0,85.0,36.0,38.0,31.0,27.0,26.0,24.0,23.0,43.0,17.0,14.0,12.0,11.0,9.0,7.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,45.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,263.0,51.0,75.0,114.0,61.0,50.0,77.0,34.0,55.0,32.0,29.0,28.0,26.0,33.0,19.0,16.0,37.0,8.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,46.0,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,80.0,40.0,,,,,,,,,,,,1.0,21.0,45.0,,,,,,34.0,20.0,18.0,,,24.0,,41.0,,,,,,,,16.0,,,19.0,,,,,,,,,,,,,,,,,,,,17.0,,10.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,146.0,45.0,44.0,43.0,38.0,32.0,36.0,39.0,27.0,26.0,28.0,14.0,13.0,9.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,94.0,77.0,61.0,45.0,114.0,79.0,42.0,127.0,39.0,100.0,35.0,62.0,34.0,29.0,26.0,37.0,34.0,21.0,20.0,19.0,18.0,9.0,8.0,5.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,44.0,,,29.0,,49.0,,,4.0,17.0,,,,,,,26.0,,,,,,,,,,,6.0,,,,,,47.0,50.0,43.0,84.0,38.0,58.0,34.0,64.0,49.0,51.0,34.0,,,25.0,,32.0,,,11.0,12.0,16.0,15.0,7.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,66.0,41.0,40.0,22.0,18.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,29.0,23.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.0,46.0,99.0,79.0,39.0,37.0,35.0,30.0,90.0,25.0,24.0,22.0,51.0,18.0,12.0,11.0,8.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,45.0,,,,,,,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,71.0,48.0,,,,,,,,,,,20.0,,33.0,127.0,,,,2.0,,49.0,28.0,101.0,,17.0,30.0,,33.0,,,,,55.0,,,37.0,,,,135.0,,,,,,,,,,,,,,,,,,,29.0,10.0,50.0,,,9.0,,27.0,,6.0,,25.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
